REPORT_ID,Stats Area,Suburb,Postcode,LGA Name,Total Units,Total Cas,Total Fats,Total SI,Total MI,Year,Month,Day,Time,Area Speed,Position Type,Horizontal Align,Vertical Align,Other Feat,Road Surface,Moisture Cond,Weather Cond,DayNight,Crash Type,Unit Resp,Entity Code,CSEF Severity,Traffic Ctrls,DUI Involved,Drugs Involved,ACCLOC_X,ACCLOC_Y,UNIQUE_LOC
2019-18-27/05/2021,2 Metropolitan,GILLES PLAINS,5086,CITY OF PORT ADELAIDE ENFIELD,2,0,0,0,0,2019,January,Tuesday,10:00 PM,60,T-Junction,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Night,Hit Fixed Object,1,Driver Rider,1: PDO,No Control,,,1334150.22,1678269.42,1.33E+13
2019-19-27/05/2021,3 Country,NELSHABY,5540,PT.PIRIE CITY & DIST. COUNCIL ,1,0,0,0,0,2019,January,Tuesday,10:50 PM,110,Not Divided,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Night,Roll Over,1,Driver Rider,1: PDO,No Control,,,1285686.71,1872376.65,1.29E+13
2019-20-27/05/2021,3 Country,PORT LINCOLN,5606,CC PT.LINCOLN.                ,2,0,0,0,0,2019,January,Wednesday,3:30 AM,80,Not Divided,"CURVED, VIEW OPEN",Slope,Not Applicable,Sealed,Dry,Not Raining,Night,Hit Fixed Object,1,Driver Rider,1: PDO,No Control,,,1078138.73,1700479.4,1.08E+13
2019-21-27/05/2021,2 Metropolitan,CRAFERS WEST,5152,THE ADELAIDE HILLS COUNCIL,2,0,0,0,0,2019,January,Tuesday,11:30 AM,50,Not Divided,"CURVED, VIEW OBSCURED",Slope,Not Applicable,Sealed,Dry,Not Raining,Daylight,Hit Fixed Object,1,Driver Rider,1: PDO,No Control,,,1336381.1,1662242.6,1.34E+13
2019-22-27/05/2021,2 Metropolitan,FULLARTON,5063,CITY OF UNLEY,2,0,0,0,0,2019,January,Tuesday,6:00 PM,40,Not Divided,Straight road,Level,Driveway or Entrance,Sealed,Dry,Not Raining,Daylight,Hit Parked Vehicle,2,Driver Rider,1: PDO,No Control,,,1329916.44,1667224.07,1.33E+13
2019-23-27/05/2021,2 Metropolitan,ELIZABETH,5112,CITY OF PLAYFORD.,2,0,0,0,0,2019,January,Wednesday,10:37 AM,50,Not Divided,Straight road,Level,Driveway or Entrance,Sealed,Dry,Not Raining,Daylight,Right Angle,1,Driver Rider,1: PDO,No Control,,,1335293.36,1692993.94,1.34E+13
2019-24-27/05/2021,2 Metropolitan,BULL CREEK,5157,DC MT.BARKER.                 ,2,0,0,0,0,2019,January,Wednesday,11:00 AM,80,Not Divided,"CURVED, VIEW OBSCURED",Slope,Not Applicable,Sealed,Dry,Not Raining,Daylight,Head On,2,Driver Rider,1: PDO,No Control,,,1342674.34,1636502.02,1.34E+13
2019-25-27/05/2021,2 Metropolitan,ROYSTON PARK,5070,"CC OF NORWOOD,PAYNEHAM & ST PETERS",2,0,0,0,0,2019,January,Wednesday,11:55 AM,60,Not Divided,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Rear End,2,Driver Rider,1: PDO,No Control,,,1331720.44,1673208.94,1.33E+13
2019-26-27/05/2021,2 Metropolitan,HENLEY BEACH,5022,CITY OF CHARLES STURT,2,1,0,0,1,2019,January,Wednesday,10:20 AM,40,Not Divided,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Hit Parked Vehicle,1,Driver Rider,2: MI,No Control,,,1318906.04,1671542.41,1.32E+13
2019-27-27/05/2021,2 Metropolitan,MAWSON LAKES,5095,CITY OF SALISBURY,2,1,0,0,1,2019,January,Tuesday,5:30 PM,50,Not Divided,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Hit Parked Vehicle,2,Driver Rider,2: MI,No Control,,,1330057.21,1684636.49,1.33E+13
